cik,filing_type,date,film_number,download_link,status
1055726,10-q,2013-11-12,131206620,https://www.sec.gov/Archives/edgar/data/1055726/000105572613000011/ino-93013x10q.htm,All Good
1055726,10-q,2013-08-09,131026890,https://www.sec.gov/Archives/edgar/data/1055726/000105572613000008/ino-63013x10q.htm,All Good
1055726,10-q,2013-05-10,13833844,https://www.sec.gov/Archives/edgar/data/1055726/000105572613000005/ino-33113x10q.htm,All Good
4962,10-q,2013-10-29,131176350,https://www.sec.gov/Archives/edgar/data/4962/000119312513415898/d600603d10q.htm,All Good
4962,10-q,2013-07-29,13993357,https://www.sec.gov/Archives/edgar/data/4962/000119312513307673/d575832d10q.htm,All Good
4962,10-q,2013-04-29,13789846,https://www.sec.gov/Archives/edgar/data/4962/000119312513180601/d526492d10q.htm,All Good
732712,10-q,2013-10-24,131168495,https://www.sec.gov/Archives/edgar/data/732712/000119312513409932/d593853d10q.htm,All Good
732712,10-q,2013-07-25,13986165,https://www.sec.gov/Archives/edgar/data/732712/000119312513302540/d546205d10q.htm,All Good
732712,10-q,2013-04-25,13781755,https://www.sec.gov/Archives/edgar/data/732712/000119312513172825/d501429d10q.htm,All Good
12927,10-q,2013-10-23,131165443,https://www.sec.gov/Archives/edgar/data/12927/000001292713000041/a201309sep3010q.htm,All Good
12927,10-q,2013-07-24,13983206,https://www.sec.gov/Archives/edgar/data/12927/000001292713000035/a201306jun3010q.htm,All Good
12927,10-q,2013-04-24,13779207,https://www.sec.gov/Archives/edgar/data/12927/000001292713000023/a201303mar3110q.htm,All Good
77476,10-q,2013-10-16,131154446,https://www.sec.gov/Archives/edgar/data/77476/000007747613000027/pepsicoq3-10xq972013.htm,All Good
77476,10-q,2013-07-24,13983845,https://www.sec.gov/Archives/edgar/data/77476/000007747613000020/pepsicoq2-10xq6152013.htm,All Good
77476,10-q,2013-04-19,13771796,https://www.sec.gov/Archives/edgar/data/77476/000007747613000008/pepsicoq1-10xq3232013.htm,All Good
18230,10-q,2013-11-01,131186053,https://www.sec.gov/Archives/edgar/data/18230/000001823013000443/cat_10qx9302013.htm,All Good
18230,10-q,2013-08-02,131006770,https://www.sec.gov/Archives/edgar/data/18230/000001823013000363/cat_10qx6302013.htm,All Good
18230,10-q,2013-05-02,13806903,https://www.sec.gov/Archives/edgar/data/18230/000001823013000239/cat_10qx3312013.htm,All Good
19617,10-q,2013-11-01,131184219,https://www.sec.gov/Archives/edgar/data/19617/000001961713000400/corpq32013.htm,All Good
19617,10-q,2013-08-07,131017897,https://www.sec.gov/Archives/edgar/data/19617/000001961713000354/corpq22013.htm,All Good
19617,10-q,2013-05-08,13824595,https://www.sec.gov/Archives/edgar/data/19617/000001961713000300/corpq12013.htm,All Good
93410,10-q,2013-11-08,131203166,https://www.sec.gov/Archives/edgar/data/93410/000009341013000045/cvx-09302013x10qdoc.htm,All Good
93410,10-q,2013-08-07,131016397,https://www.sec.gov/Archives/edgar/data/93410/000009341013000028/cvx-06302013x10qdoc.htm,All Good
93410,10-q,2013-05-02,13806354,https://www.sec.gov/Archives/edgar/data/93410/000009341013000010/cvx-03312013x10qdoc.htm,All Good
836147,10-q/a,2013-12-13,131275976,https://www.sec.gov/Archives/edgar/data/836147/000143774913016005/mbcn20131125b_10qa.htm,All Good
836147,10-q/a,2013-12-13,131275972,https://www.sec.gov/Archives/edgar/data/836147/000143774913016003/mbcn20131125c_10qa.htm,All Good
836147,10-q/a,2013-12-13,131275958,https://www.sec.gov/Archives/edgar/data/836147/000143774913016001/mbcn20131125_10qa.htm,All Good
836147,10-q,2013-11-05,131191878,https://www.sec.gov/Archives/edgar/data/836147/000143774913013880/mbcn20130930_10q.htm,All Good
836147,10-q,2013-08-07,131016615,https://www.sec.gov/Archives/edgar/data/836147/000143774913010080/mbcn20130630_10q.htm,All Good
836147,10-q,2013-05-09,13826726,https://www.sec.gov/Archives/edgar/data/836147/000143774913005570/mbc_10q-033113.htm,All Good
21344,10-q,2013-10-24,131167444,https://www.sec.gov/Archives/edgar/data/21344/000002134413000050/a2013092710q.htm,All Good
21344,10-q,2013-07-25,13985630,https://www.sec.gov/Archives/edgar/data/21344/000002134413000039/a2013062810q.htm,All Good
21344,10-q,2013-04-25,13781719,https://www.sec.gov/Archives/edgar/data/21344/000002134413000017/a2013032910q.htm,All Good
1001039,10-q,2013-08-06,131014318,https://www.sec.gov/Archives/edgar/data/1001039/000100103913000123/fy2013_q3x10qxdoc.htm,All Good
1001039,10-q,2013-05-07,13821146,https://www.sec.gov/Archives/edgar/data/1001039/000100103913000080/fy2013_q2x10qxdoc.htm,All Good
1001039,10-q,2013-02-05,13574820,https://www.sec.gov/Archives/edgar/data/1001039/000100103913000019/fy2013_q1x10qxdoc.htm,All Good
34088,10-q,2013-11-05,131191528,https://www.sec.gov/Archives/edgar/data/34088/000003408813000046/xom10q3q2013.htm,All Good
34088,10-q,2013-08-06,131012438,https://www.sec.gov/Archives/edgar/data/34088/000003408813000035/xom10q2q2013.htm,All Good
34088,10-q,2013-05-02,13806391,https://www.sec.gov/Archives/edgar/data/34088/000003408813000019/xom10q1q2013.htm,All Good
40545,10-q,2013-11-01,131186691,https://www.sec.gov/Archives/edgar/data/40545/000004054513000092/geform10q3q13.htm,All Good
40545,10-q,2013-07-26,13989755,https://www.sec.gov/Archives/edgar/data/40545/000004054513000075/geform10q2q13.htm,All Good
40545,10-q,2013-05-08,13821661,https://www.sec.gov/Archives/edgar/data/40545/000004054513000057/geform10q1q13.htm,All Good
47217,10-q,2013-09-09,131084142,https://www.sec.gov/Archives/edgar/data/47217/000104746913008916/a2216474z10-q.htm,All Good
47217,10-q,2013-06-06,13898314,https://www.sec.gov/Archives/edgar/data/47217/000104746913006802/a2215416z10-q.htm,All Good
47217,10-q,2013-03-11,13681864,https://www.sec.gov/Archives/edgar/data/47217/000104746913002541/a2213220z10-q.htm,All Good
886206,10-q,2013-07-11,13964144,https://www.sec.gov/Archives/edgar/data/886206/000088620613000025/form10q_071113.htm,All Good
886206,10-q,2013-04-11,13755571,https://www.sec.gov/Archives/edgar/data/886206/000088620613000019/form10q-041013.htm,All Good
886206,10-q,2013-01-10,13522384,https://www.sec.gov/Archives/edgar/data/886206/000088620613000004/form10q_120112.htm,All Good
354950,10-q,2013-11-27,131245662,https://www.sec.gov/Archives/edgar/data/354950/000035495013000047/hd_10qx11032013.htm,All Good
354950,10-q,2013-08-28,131065972,https://www.sec.gov/Archives/edgar/data/354950/000035495013000032/hd_10qx08042013.htm,All Good
354950,10-q,2013-05-29,13878397,https://www.sec.gov/Archives/edgar/data/354950/000035495013000015/hd_10qx05052013.htm,All Good
