cik,filing_type,date,film_number,download_link,status
1055726,10-q,2007-11-08,71226117,https://www.sec.gov/Archives/edgar/data/1055726/000110465907081212/a07-25429_110q.htm,All Good
1055726,10-q,2007-08-08,71035835,https://www.sec.gov/Archives/edgar/data/1055726/000110465907060229/a07-18727_110q.htm,All Good
1055726,10-q,2007-05-09,7832575,https://www.sec.gov/Archives/edgar/data/1055726/000110465907037542/a07-10660_110q.htm,All Good
4962,10-q,2007-11-09,71232810,https://www.sec.gov/Archives/edgar/data/4962/000110465907081852/a07-28534_110q.htm,All Good
4962,10-q,2007-08-07,71030323,https://www.sec.gov/Archives/edgar/data/4962/000110465907059503/a07-19301_110q.htm,All Good
4962,10-q,2007-05-09,7833271,https://www.sec.gov/Archives/edgar/data/4962/000110465907037625/a07-13364_110q.htm,All Good
732712,10-q,2007-10-30,71200095,https://www.sec.gov/Archives/edgar/data/732712/000119312507229691/d10q.htm,All Good
732712,10-q,2007-07-31,71011836,https://www.sec.gov/Archives/edgar/data/732712/000119312507166316/d10q.htm,All Good
732712,10-q,2007-05-04,7820978,https://www.sec.gov/Archives/edgar/data/732712/000119312507102943/d10q.htm,All Good
12927,10-q,2007-10-24,71187733,https://www.sec.gov/Archives/edgar/data/12927/000119312507224585/d10q.htm,All Good
12927,10-q,2007-07-25,7998764,https://www.sec.gov/Archives/edgar/data/12927/000119312507161475/d10q.htm,All Good
12927,10-q,2007-04-25,7786710,https://www.sec.gov/Archives/edgar/data/12927/000119312507089827/d10q.htm,All Good
77476,10-q,2007-10-11,71167812,https://www.sec.gov/Archives/edgar/data/77476/000119312507217000/d10q.htm,All Good
77476,10-q,2007-07-25,7997074,https://www.sec.gov/Archives/edgar/data/77476/000119312507160846/d10q.htm,All Good
77476,10-q,2007-04-25,7787782,https://www.sec.gov/Archives/edgar/data/77476/000119312507090190/d10q.htm,All Good
18230,10-q,2007-11-01,71205371,https://www.sec.gov/Archives/edgar/data/18230/000001823007000489/form10q_3q07.htm,All Good
18230,10-q,2007-08-02,71018960,https://www.sec.gov/Archives/edgar/data/18230/000001823007000415/form10q_2q07.htm,All Good
18230,10-q/a,2007-05-03,7816683,https://www.sec.gov/Archives/edgar/data/18230/000001823007000307/form10q-a1q07.htm,All Good
18230,10-q,2007-05-03,7813239,https://www.sec.gov/Archives/edgar/data/18230/000001823007000304/form10q_1q07.htm,All Good
19617,10-q,2007-11-09,71230471,https://www.sec.gov/Archives/edgar/data/19617/000095012307015226/y41905e10vq.htm,All Good
19617,10-q,2007-08-09,71037514,https://www.sec.gov/Archives/edgar/data/19617/000095012307011115/y38001e10vq.htm,All Good
19617,10-q,2007-05-10,7837012,https://www.sec.gov/Archives/edgar/data/19617/000095012307007195/y34487e10vq.htm,All Good
93410,10-q,2007-11-06,71215987,https://www.sec.gov/Archives/edgar/data/93410/000095013407022949/f35025e10vq.htm,All Good
93410,10-q,2007-08-03,71022257,https://www.sec.gov/Archives/edgar/data/93410/000095013407016714/f32319e10vq.htm,All Good
93410,10-q,2007-05-04,7817839,https://www.sec.gov/Archives/edgar/data/93410/000095013407010195/f29711e10vq.htm,All Good
836147,10-q,2007-11-09,71230624,https://www.sec.gov/Archives/edgar/data/836147/000095015207008832/l28759ae10vq.htm,All Good
836147,10-q,2007-08-17,71063870,https://www.sec.gov/Archives/edgar/data/836147/000095015207006951/l27556ae10vq.htm,All Good
836147,10-q,2007-05-15,7850768,https://www.sec.gov/Archives/edgar/data/836147/000095015207004465/l26233ae10vq.htm,All Good
21344,10-q,2007-10-24,71187605,https://www.sec.gov/Archives/edgar/data/21344/000104746907007893/a2180312z10-q.htm,All Good
21344,10-q,2007-07-26,71002662,https://www.sec.gov/Archives/edgar/data/21344/000104746907005866/a2178997z10-q.htm,All Good
21344,10-q,2007-04-26,7790223,https://www.sec.gov/Archives/edgar/data/21344/000104746907003223/a2177342z10-q.htm,All Good
1001039,10-q,2007-08-01,71016877,https://www.sec.gov/Archives/edgar/data/1001039/000119312507168199/d10q.htm,All Good
1001039,10-q,2007-05-08,7828967,https://www.sec.gov/Archives/edgar/data/1001039/000119312507106209/d10q.htm,All Good
1001039,10-q,2007-02-07,7588396,https://www.sec.gov/Archives/edgar/data/1001039/000119312507022585/d10q.htm,All Good
34088,10-q,2007-11-07,71220110,https://www.sec.gov/Archives/edgar/data/34088/000003408807000152/r10q110707.htm,All Good
34088,10-q,2007-08-07,71030362,https://www.sec.gov/Archives/edgar/data/34088/000003408807000114/r10q080707.htm,All Good
34088,10-q,2007-05-08,7826923,https://www.sec.gov/Archives/edgar/data/34088/000003408807000070/r10q050807.htm,All Good
40545,10-q,2007-11-02,71210178,https://www.sec.gov/Archives/edgar/data/40545/000004054507000051/frm10q.htm,All Good
40545,10-q,2007-07-27,71005725,https://www.sec.gov/Archives/edgar/data/40545/000004054507000039/frm10q.htm,All Good
40545,10-q,2007-04-27,7794975,https://www.sec.gov/Archives/edgar/data/40545/000004054507000022/frm10q.htm,All Good
40545,10-q/a,2007-01-19,7539334,https://www.sec.gov/Archives/edgar/data/40545/000004054507000009/f10q2.htm,All Good
40545,10-q/a,2007-01-19,7539333,https://www.sec.gov/Archives/edgar/data/40545/000004054507000008/f10q1.htm,All Good
40545,10-q/a,2007-01-19,7539332,https://www.sec.gov/Archives/edgar/data/40545/000004054507000010/f10q3.htm,All Good
47217,10-q,2007-09-07,71106186,https://www.sec.gov/Archives/edgar/data/47217/000104746907006879/a2179502z10-q.htm,All Good
47217,10-q,2007-06-08,7910701,https://www.sec.gov/Archives/edgar/data/47217/000104746907004865/a2178097z10-q.htm,All Good
47217,10-q,2007-03-09,7685549,https://www.sec.gov/Archives/edgar/data/47217/000110465907017867/a07-6571_310q.htm,All Good
886206,10-q,2007-07-12,7976759,https://www.sec.gov/Archives/edgar/data/886206/000088620607000023/form10q_071207.htm,All Good
886206,10-q,2007-04-12,7764100,https://www.sec.gov/Archives/edgar/data/886206/000088620607000015/q2form10q_041207.htm,All Good
886206,10-q,2007-01-11,7526288,https://www.sec.gov/Archives/edgar/data/886206/000088620607000005/form10q_011107.htm,All Good
354950,10-q,2007-11-28,71271926,https://www.sec.gov/Archives/edgar/data/354950/000110465907085623/a07-30127_110q.htm,All Good
354950,10-q,2007-09-04,71097262,https://www.sec.gov/Archives/edgar/data/354950/000110465907066810/a07-21939_110q.htm,All Good
354950,10-q,2007-06-06,7904771,https://www.sec.gov/Archives/edgar/data/354950/000110465907045852/a07-15221_110q.htm,All Good
51143,10-q,2007-10-30,71199036,https://www.sec.gov/Archives/edgar/data/51143/000110465907078049/a07-24846_110q.htm,All Good
51143,10-q,2007-07-31,71012155,https://www.sec.gov/Archives/edgar/data/51143/000110465907057458/a07-18155_110q.htm,All Good
51143,10-q,2007-04-24,7784206,https://www.sec.gov/Archives/edgar/data/51143/000110465907030840/a07-10621_110q.htm,All Good
200406,10-q,2007-11-06,71217607,https://www.sec.gov/Archives/edgar/data/200406/000020040607000128/tenq.txt,All Good
200406,10-q,2007-08-08,71035548,https://www.sec.gov/Archives/edgar/data/200406/000020040607000104/tenq.txt,All Good
200406,10-q,2007-05-10,7839173,https://www.sec.gov/Archives/edgar/data/200406/000020040607000076/tenq.txt,All Good
63908,10-q,2007-11-02,71209187,https://www.sec.gov/Archives/edgar/data/63908/000119312507233434/d10q.htm,All Good
63908,10-q,2007-08-06,71026664,https://www.sec.gov/Archives/edgar/data/63908/000119312507171645/d10q.htm,All Good
63908,10-q,2007-05-04,7818761,https://www.sec.gov/Archives/edgar/data/63908/000119312507102379/d10q.htm,All Good
310158,10-q,2007-10-26,71192229,https://www.sec.gov/Archives/edgar/data/310158/000095012307014306/y41280e10vq.htm,All Good
310158,10-q,2007-07-27,71004920,https://www.sec.gov/Archives/edgar/data/310158/000095012307010384/y37453e10vq.htm,All Good
310158,10-q,2007-04-27,7793841,https://www.sec.gov/Archives/edgar/data/310158/000095012307006129/y33954e10vq.htm,All Good
66740,10-q,2007-10-29,71196643,https://www.sec.gov/Archives/edgar/data/66740/000110465907077708/a07-25463_110q.htm,All Good
66740,10-q,2007-08-07,71031535,https://www.sec.gov/Archives/edgar/data/66740/000110465907059663/a07-18763_110q.htm,All Good
66740,10-q,2007-05-04,7819242,https://www.sec.gov/Archives/edgar/data/66740/000110465907035879/a07-10706_110q.htm,All Good
70858,10-q,2007-11-09,71230432,https://www.sec.gov/Archives/edgar/data/70858/000119312507242080/d10q.htm,All Good
70858,10-q,2007-08-08,71035888,https://www.sec.gov/Archives/edgar/data/70858/000119312507175583/d10q.htm,All Good
70858,10-q,2007-05-09,7832786,https://www.sec.gov/Archives/edgar/data/70858/000119312507108222/d10q.htm,All Good
1366868,10-q,2007-11-14,71246017,https://www.sec.gov/Archives/edgar/data/1366868/000110465907083185/a07-25936_110q.htm,All Good
1366868,10-q,2007-08-14,71055731,https://www.sec.gov/Archives/edgar/data/1366868/000110465907062494/a07-19309_110q.htm,All Good
1366868,10-q,2007-05-15,7852473,https://www.sec.gov/Archives/edgar/data/1366868/000110465907039993/a07-13416_110q.htm,All Good
78003,10-q,2007-11-05,71213671,https://www.sec.gov/Archives/edgar/data/78003/000007800307000311/q3-07pfe1.htm,All Good
78003,10-q,2007-08-06,71027883,https://www.sec.gov/Archives/edgar/data/78003/000007800307000195/q2-07pfe1.htm,All Good
78003,10-q,2007-05-04,7821200,https://www.sec.gov/Archives/edgar/data/78003/000007800307000108/q1-07pfe1.htm,All Good
80424,10-q,2007-10-31,71202288,https://www.sec.gov/Archives/edgar/data/80424/000095015207008417/l28511ae10vq.htm,All Good
80424,10-q,2007-05-02,7808649,https://www.sec.gov/Archives/edgar/data/80424/000008042407000078/qjfm2007.htm,All Good
80424,10-q,2007-01-31,7568380,https://www.sec.gov/Archives/edgar/data/80424/000008042407000010/qond2006.htm,All Good
732717,10-q,2007-11-06,71215307,https://www.sec.gov/Archives/edgar/data/732717/000073271707000094/attq3_10q07.htm,All Good
732717,10-q,2007-08-03,71024214,https://www.sec.gov/Archives/edgar/data/732717/000073271707000074/q2form10q.htm,All Good
732717,10-q,2007-05-04,7821386,https://www.sec.gov/Archives/edgar/data/732717/000073271707000030/att_1q07.htm,All Good
86312,10-q,2007-10-25,71190089,https://www.sec.gov/Archives/edgar/data/86312/000110465907076908/a07-25479_110q.htm,All Good
86312,10-q,2007-07-26,71002867,https://www.sec.gov/Archives/edgar/data/86312/000110465907056530/a07-18781_110q.htm,All Good
86312,10-q,2007-05-02,7811333,https://www.sec.gov/Archives/edgar/data/86312/000110465907034899/a07-10727_110q.htm,All Good
101829,10-q,2007-10-18,71177734,https://www.sec.gov/Archives/edgar/data/101829/000119312507220802/d10q.htm,All Good
101829,10-q,2007-07-20,7990184,https://www.sec.gov/Archives/edgar/data/101829/000119312507158589/d10q.htm,All Good
101829,10-q,2007-04-20,7777304,https://www.sec.gov/Archives/edgar/data/101829/000119312507085770/d10q.htm,All Good
104169,10-q,2007-11-29,71275608,https://www.sec.gov/Archives/edgar/data/104169/000010416907000010/wmt3q08.htm,All Good
104169,10-q,2007-09-10,71109116,https://www.sec.gov/Archives/edgar/data/104169/000119312507198266/d10q.htm,All Good
104169,10-q,2007-06-01,7894572,https://www.sec.gov/Archives/edgar/data/104169/000119312507128008/d10q.htm,All Good
104169,10-q,2007-11-29,71275608,https://www.sec.gov/Archives/edgar/data/104169/000010416907000010/wmt3q08.htm,All Good
104169,10-q,2007-09-10,71109116,https://www.sec.gov/Archives/edgar/data/104169/000119312507198266/d10q.htm,All Good
104169,10-q,2007-06-01,7894572,https://www.sec.gov/Archives/edgar/data/104169/000119312507128008/d10q.htm,All Good
104169,10-q,2007-11-29,71275608,https://www.sec.gov/Archives/edgar/data/104169/000010416907000010/wmt3q08.htm,All Good
104169,10-q,2007-09-10,71109116,https://www.sec.gov/Archives/edgar/data/104169/000119312507198266/d10q.htm,All Good
104169,10-q,2007-06-01,7894572,https://www.sec.gov/Archives/edgar/data/104169/000119312507128008/d10q.htm,All Good
104169,10-q,2007-11-29,71275608,https://www.sec.gov/Archives/edgar/data/104169/000010416907000010/wmt3q08.htm,All Good
104169,10-q,2007-09-10,71109116,https://www.sec.gov/Archives/edgar/data/104169/000119312507198266/d10q.htm,All Good
104169,10-q,2007-06-01,7894572,https://www.sec.gov/Archives/edgar/data/104169/000119312507128008/d10q.htm,All Good
104169,10-q,2007-11-29,71275608,https://www.sec.gov/Archives/edgar/data/104169/000010416907000010/wmt3q08.htm,All Good
104169,10-q,2007-09-10,71109116,https://www.sec.gov/Archives/edgar/data/104169/000119312507198266/d10q.htm,All Good
104169,10-q,2007-06-01,7894572,https://www.sec.gov/Archives/edgar/data/104169/000119312507128008/d10q.htm,All Good
858877,10-q,2007-11-20,71258303,https://www.sec.gov/Archives/edgar/data/858877/000119312507250673/d10q.htm,All Good
